county,2005,2006,2007,2008,2009,2010,2011,2012,2013
110105,,,1,,,,1,1,3
110106,,,,2,1,,1,2,
110107,1,,,,,,,,
110108,,,,,,2,1,,1
110109,,,,,,,,1,
110111,,1,,1,1,2,,,1
110112,,,,1,,1,,5,
110113,,,,,,1,,3,
110114,,,,,1,1,,,
110115,,,2,2,,,1,1,
110117,,,,,,2,,,1
110228,,,,,,,1,,1
120102,,,2,,,,,1,
120103,,,,,,,2,,
120105,,,1,,,1,1,1,
120106,,,1,1,,,2,,
120107,,,1,,1,,,,
120108,,,,,1,,,,
120109,3,,,1,,,,,
120110,,,,,1,,,1,2
120111,,,,,2,,,,
120112,,,3,2,,,,,
120113,,,3,3,2,,,,
120114,,,5,2,1,1,1,2,1
120115,,,1,1,,,,1,1
120116,,,,,,1,,2,
120221,,,,,2,,,,
120223,,4,1,,1,1,2,,
120225,,,,,,,,1,
130102,,,,,,,,1,
130104,,,,,,,1,,
130105,,,,1,1,,,,
130108,,,,1,,,,,
130121,,,,,,4,1,,
130123,,,,,1,1,2,,
130124,,,,,3,,,,
130125,,,3,1,1,,1,,1
130126,,,1,3,1,,,1,1
130128,1,1,2,,2,,,,1
130129,,,,,1,,,,
130130,,,,,1,3,1,,
130131,,,,3,1,1,,1,2
130132,,,,,1,,1,1,1
130133,,,,1,1,1,1,,
130181,,,1,1,1,1,,,1
130182,,,,1,2,1,2,1,2
130183,,,1,,1,2,,,1
130184,,1,1,,2,1,1,1,
130185,,,,,2,,2,,
130203,,,,,,,,,1
130205,,,,,1,4,,,
130207,,,,,2,1,,,
130208,,,,,1,5,,,
130223,,,,,4,1,,,
130224,,,,,3,2,1,,
130225,,,,,1,3,,,
130227,,,,,,2,,1,
130229,,,,,,1,,,
130230,,,,,,,1,,
130281,,,,3,,2,2,1,1
130283,,,,1,1,2,,,
130302,,,,,1,,,,
130321,,,,,1,1,,1,
130322,,,,,2,2,,,
130323,,,,,4,7,1,,
130324,,,,,1,1,,,
130404,,,,1,,,,,
130406,,,,,1,,,,1
130421,,,2,,,,1,,
130423,,,1,1,1,,2,,1
130424,,1,2,,1,,,,
130425,,2,,,1,,,,1
130428,,1,1,,2,,,,
130429,,,3,2,2,,1,1,
130430,,,1,,,,,,
130431,,,,1,,1,,,
130432,,1,,,,,1,,
130433,,4,1,,,1,,,1
130434,,,3,,,,,1,1
130435,,1,2,,,,,1,
130481,,,,1,1,,,,1
130502,,,,,,,,1,
130521,,,,2,2,,,,
130522,,,,1,,1,1,,
130523,,,1,2,1,,,2,
130524,,,1,1,1,,,,
130525,,,2,,,1,,,
130526,,,,2,2,,2,,
130527,,,,,2,1,,2,
130528,,,2,3,1,2,1,,1
130529,,,1,,1,,,,
130530,,,,1,,,1,,
130531,,1,,,,,,,
130532,,,,,,1,,1,
130533,,1,,,2,,2,2,1
130534,,1,2,,,,,1,1
130535,,2,1,1,,1,,,
130581,,1,,,,1,,1,1
130582,,,,,1,1,1,,
130602,,,,,1,1,,,
130603,,,,1,1,,,,
130604,,1,,,2,1,,,1
130621,,,,,2,2,,,1
130622,,2,1,2,4,4,4,1,1
130623,,,,2,,,1,,
130624,,,,1,,,,,
130625,,,2,2,3,1,,4,2
130626,,,,3,,1,1,,1
130627,,,,1,3,1,2,1,
130628,,1,1,2,,,,1,
130629,,,1,1,,,,,1
130630,,,,,,,1,,1
130631,,,1,,,1,1,,1
130632,,,1,3,,2,1,,2
130633,,,,1,2,,,,
130634,1,,7,,1,1,,2,1
130635,,,3,,,,,,2
130636,,,,1,1,1,1,,1
130637,,,,,1,2,2,,1
130638,,3,4,1,2,,1,1,2
130681,,,2,2,,1,,,1
130682,,2,14,4,13,6,2,1,4
130683,,,5,2,1,1,2,2,1
130684,,,3,5,2,,1,,1
130702,,,,,,,,,1
130703,,,,1,,,,1,
130705,,,,,,,2,1,
130706,,,,,,1,,,
130721,,,,1,,1,1,,1
130722,,,,,4,,,,
130723,,,2,,,1,,1,
130724,,1,,,,1,2,,
130725,,,,1,,,,,
130726,,,,,,,4,5,1
130727,,,,,,,1,2,2
130728,,,,,,,3,,
130729,,,,1,2,1,,,
130730,,,,1,1,,2,,
130731,,,,,1,,2,2,
130733,,,,,,1,1,,
130802,,,,,,1,,,
130804,,,,,,1,,,
130821,,,,,,1,1,1,1
130822,,,,,,,,1,
130823,,,,1,,2,,,
130824,,,,,,,1,,1
130825,,,,,,,,1,
130826,,,,,,,,,2
130828,,,2,,,,,,1
130902,,,,,,,,,1
130903,,,1,,,,,,
130921,2,3,4,4,1,3,,,1
130922,2,,1,2,,,1,,1
130923,,2,,3,,1,1,,
130924,,1,,2,,,,,1
130925,,3,3,,1,2,,2,
130926,,,1,,,,1,,
130927,1,1,1,,1,,,,
130928,,,1,,,,1,,
130929,,1,,,1,1,1,,
130930,,2,2,,,,,,
130981,2,4,2,2,,,,,
130982,,8,2,,2,,,,
130983,2,2,2,1,,,1,2,
130984,,3,,1,3,1,,,1
131002,,,1,,,,1,,1
131003,,,,1,,,,,
131022,,,3,1,,1,,,
131023,,2,3,,2,1,1,1,
131024,,,,2,,,,,1
131025,1,5,1,,1,1,,2,
131026,,1,3,2,2,2,2,,1
131081,,6,5,,1,2,1,2,1
131082,,,1,2,,,1,1,
131099,,,3,1,,,,,
131102,,1,3,,,,,1,
131121,,,1,1,3,,,1,
131122,,3,1,,,,2,,1
131123,,1,1,1,,,1,,
131124,,,3,1,,1,,,
131125,,1,,2,,,,1,
131126,1,2,3,1,1,2,1,,
131127,,1,2,2,1,1,1,,
131128,,,3,,,,,,
131181,,,,,1,1,2,2,
131182,,3,3,1,1,3,1,1,1
140106,,,,,,,,1,
140107,,,,,,,,,1
140108,,,,,,,1,1,
140109,,,,,,,1,,
140110,,,,,,1,1,1,
140121,,,,,,,1,,
140123,,,,,,,1,,
140181,,,,,,,2,1,
140202,,,,,,,1,,
140203,,,,,,,1,,
140211,,,,,,,1,2,1
140212,,,,,,,1,1,
140221,,,,,,1,,,2
140222,,,,,,2,,,1
140223,,,,,,,,2,1
140224,,,,,,,,3,
140225,,,,,,,2,,
140302,,,,,1,,1,1,
140303,,,,,1,,,,
140311,,,,,1,1,1,,1
140321,,,,,,,2,,1
140322,,,,,,,,,2
140402,,,,1,,,,,
140421,,,,,2,,,,
140423,,,,,3,1,,,
140424,,,2,,1,1,,,
140427,,,,,1,,,,
140428,,,,1,,,,,
140430,,,,,,,4,1,
140481,,,,,,1,,,
140521,,,,,,,,,1
140522,,,,,,,1,,
140524,,,,,1,,1,,
140525,,,,2,,,,,
140581,,,,1,,2,1,,
140602,,,,,,,,3,3
140603,,,,,,,,2,4
140621,,,,,,,,,2
140622,,,,,,,2,3,1
140624,,,,,,,1,,3
140702,,,,,,,,1,2
140722,,,,,,,1,,
140724,,,,,,1,,,
140725,,,,,1,2,,1,
140728,,,,,,,,1,2
140729,,,,,,,1,1,1
140781,,,,,,,2,1,
140802,,,,,,1,1,2,1
140821,,,,,1,1,1,,1
140822,,,1,2,,2,1,1,1
140823,,,,1,1,1,2,,
140824,,,,,5,2,,2,1
140825,,,,,1,,,,1
140826,,,,,1,,2,,
140827,,,,,,,1,,1
140828,,,,,3,3,1,,
140830,,,,,,,1,,
140881,,,,,,,3,1,
140882,,,,1,2,,1,,
140902,,,,,,,3,2,
140921,,,,,,,,1,
140922,,,,,,,1,,
140923,,,,,,,,1,
140924,,,,,,,1,3,
140925,,,,,,,,1,
140928,1,,,,,,,,1
140981,,,,,,1,2,1,
141002,,,,,,7,9,3,4
141021,,,,,,,2,,
141022,,,,,,,,2,
141023,,,,,,6,3,1,3
141024,,,,,,3,12,8,2
141025,,,,,,,,2,1
141026,,,,,,,,1,
141027,,,,,,,2,,2
141029,,,,,,3,1,2,
141030,,,,,,,1,,
141031,,,,,,,,1,1
141033,,,,,,,2,,
141034,,,,,,,1,1,2
141081,,,,,1,,,,
141082,,,,,,,2,2,
141102,,,,,,,,,4
141121,,,,,,,1,,
141123,,,,,,,,,1
141124,,,,,,,,,1
141125,,,,,,,,,3
141127,,,,,,,,,2
141128,,,,,,,,1,1
141129,,,,,,,,,1
141130,,,,,,,,1,
141181,,,,,,,,,1
141182,,,,,,,,,1
149999,,,,,1,,,1,
150102,,,,,,,1,,
150103,,,,,,,1,,
150105,,,,,,,,1,
150121,,,,,,1,1,,2
150122,,,,,,1,,,
150123,,,,,,,1,,
150124,,,,,,,1,1,
150125,,,,,,,,1,
150202,,,,,,1,1,1,
150203,,,,,1,,,1,
150204,,1,,,,,,2,1
150207,,,,,,1,,,
150221,,,,,,1,,,3
150222,,,,,,,1,,
150426,,,1,,,,,,
150429,,,,,,,,2,1
150430,,,1,,,,,,
150602,,,,,,,,,1
150621,,,,,,,1,,
150622,,,,,,,,,1
150722,,,1,,,,,,
150821,,,,,,,1,,
150823,,,,,,,2,,
150921,,,,,,,,,2
150922,,,,1,1,,,,1
150923,,,,,1,,,,
150924,,,,1,,,,,1
150925,,,,,1,,,1,
150926,,,,,,1,,2,
150927,,,,,,,,1,
150928,,,,,,,1,,
152224,,,1,,,,,,
152527,,,1,,1,,,,
159999,,,1,,,,,,
210181,,,,,,,,,1
210381,,,,,,,,2,
211081,,,,,,,1,,1
211103,,,,,,,,1,
211122,,,,,,,,,1
211324,,,,,,,,3,1
211382,,,,,,,1,,
220582,,,1,,,,,,
230702,,1,,,,,,,
231223,,,,,,,,,1
231225,,,,,,,,1,
239999,,1,,,,,,,
310104,,,,,,,1,,
310106,,,1,,,,,,
310112,,,,,,,,1,
310114,,,,,,,,1,1
