line,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,count
1101,,,3,1,,,,2,,2,,1,1
1102,,,,,,,,,,,,,2
1201,,1,,,,,,,,,2,,3
1202,,,1,,,,,,,,,,4
1301,,1,1,,,4,2,2,1,1,2,1,5
1302,1,3,2,,3,4,1,4,2,1,1,1,6
1303,,,2,,1,2,1,1,1,1,1,1,7
1304,,,,,,,1,,,,,1,8
1305,1,,,,1,,2,2,1,1,1,,9
1306,4,,1,3,3,1,1,2,2,1,5,3,10
1307,,1,1,,,1,,1,2,,,,11
1308,,,,,1,1,,1,,2,,,12
1309,,,2,,,1,,1,1,1,2,,13
1310,2,,,,2,1,,,,,1,1,14
1311,,,,,1,2,1,1,1,2,,,15
1401,,,,,,,1,,,,,,16
1402,,,,,,,1,1,,,,1,17
1403,,,,,,,,,,,,1,18
1404,,,,1,,1,1,,,,,,19
1405,1,,,,,,1,,,,,,20
1406,,,,,,,,,,,,,21
1407,2,,,,1,,,,,,,,22
1408,1,,,,1,3,1,1,3,,,,23
1409,,,1,,,,,,,,,,24
1410,1,,,,2,2,2,4,2,2,2,2,25
1411,,,,,,,,,,,,,26
1499,,,,,,,,,,,,,27
1501,,,,,,,,,1,,1,,28
1502,1,,,,,,,1,1,,,,29
1504,,,,,,,,,,,,,30
1506,,,,,,,,,,,,,31
1507,,,,,,,,,,,,,32
1508,,,,,,,,,,,,,33
1509,,,,,,,,,,,1,,34
1522,,,,,,,,,,,,,35
1525,,,,,,,,,,,,,36
1599,,,,,,,,,,,,,37
2101,,,,,,,,,,,,,38
2103,,,,,,,,,,,,,39
2110,,,,,,,,,,,,,40
2111,,,,,,,,,,,,,41
2113,,,,,,,,,,,,,42
2205,,,,,,,,,,,,,43
2307,,,,,,,,,,,,,44
2312,,,,,,,,,,,,,45
2399,,,,,,,,,,,,,46
3101,,,,,,,1,,,,,1,47
3102,,,,,,,,,,1,,,48
3201,,1,,1,,,,,1,,,,49
3202,,,,1,,,1,1,,,,,50
3203,,,1,1,1,1,1,,2,4,2,,51
3204,1,,,,,,,,,1,1,,52
3205,,,,,,,,2,,,,,53
3206,,,,,,,,1,1,,,2,54
3207,,,3,,,,3,2,,2,,,55
3208,,,,1,1,1,2,,,1,2,1,56
3209,1,,,,2,1,,,,1,2,,57
3210,,,,,,,,,,,1,,58
3211,,1,,,,,,,,1,1,,59
3212,2,,,2,,,3,,,1,,,60
3213,,,1,1,,,,2,1,2,2,,61
3301,,,,1,,,,,2,,1,,62
3302,,,,,,,,,,,,,63
3303,,,,,,,,,,,,1,64
3304,,,,,1,1,1,,1,,,,65
3305,,,1,,,,,,,,1,,66
3306,,1,,,,,,,1,,,,67
3307,,,,,,2,,,,,,1,68
3308,,,,,1,,,,,,,,69
3310,,1,2,,,,1,,,1,1,,70
3311,,,,,,,,,,1,1,,71
3399,,,,,,,,,,,,,72
3401,,1,,,,,,,,,,1,73
3402,,,,,,,,1,,,,,74
3403,,,,,,,,,,1,,,75
3404,,,,1,1,1,1,,,,,,76
3405,,,,,,,,,,,,,77
3406,,,,,,,,,,,,,78
3407,,,,,,,,,,,,,79
3408,,,,,,1,,,,2,,,80
3410,,,,,,,,,,,,,81
3411,,,1,1,,,,,,,3,,82
3412,,,,,,1,2,1,1,1,1,2,83
3413,1,1,,,1,1,2,,1,,,1,84
3414,,,1,,,1,1,,,1,,,85
3415,,,,,,,,,,,,1,86
3416,,,1,2,1,1,2,1,1,,1,,87
3417,,,,,,,,,,,,,88
3418,,,,,,,,,,,,,89
3499,,,,,,,,,,,,,90
3501,,,,,,,1,,,,,,91
3504,,,,,,,,1,,,,,92
3505,,,,1,,,3,2,,,,,93
3507,,,,,,,,,,,,,94
3508,,,,,,,,,,,,,95
3509,,,,,,,,,,1,,,96
3510,,,,,,,,,,,,,97
3601,,,,1,,,,1,,,1,,98
3602,,,,,,,,,,,,,99
3603,,1,1,,,1,1,,,,1,,100
3604,,,,,1,1,1,,,,,,101
3605,,,,,,,,,,,,,102
3606,,1,,,,,,,,,,,103
3607,,1,1,,,,1,1,2,2,2,1,104
3608,,1,,,,,1,3,1,,1,,105
3609,,1,2,,1,,1,3,4,,1,,106
3610,,,,,,,,,,,,,107
3611,,,,,,2,,,,1,2,,108
3701,,,1,,,1,,1,,1,,,109
3702,,,1,,,,,,1,1,1,,110
3703,,,,,,,,,1,,,,111
3704,,1,,,,,1,1,2,,,1,112
3705,,,,,,,,1,,,,,113
3706,,,1,1,1,,,3,,1,,1,114
3707,,,,1,1,,1,1,1,,2,1,115
3708,1,,1,1,,,,,,,,,116
3709,,,2,,,,,,,3,,,117
3710,,,1,,,,,,,1,,,118
3711,,,,1,,2,,,,,1,,119
3712,,,,,,,,,,,,,120
3713,1,,,1,1,1,1,,1,1,,,121
3714,,,,,,,1,,1,2,,,122
3715,,,,,,,,,1,,,,123
3716,,2,,1,,1,,,,2,1,1,124
3717,2,,1,,,1,2,,2,,,,125
3799,,,,,,,,,,,,,126
4101,,1,,,,,,2,,,,2,127
4102,,1,2,,1,,1,2,,1,,1,128
4103,,,2,1,,1,,1,,,,1,129
4104,,1,,,,1,,3,2,1,,,130
4105,1,,,,,,1,,1,3,,1,131
4106,,,,,,,,,,,,,132
4107,,,,,,,,,1,,,,133
4108,,,,,2,1,,,,1,,,134
4109,,1,,,,1,,,,2,,1,135
4110,,,,,,,1,,,,1,,136
4111,,,,,,2,,1,,1,,1,137
4112,,,,,1,,,,,,,,138
4113,1,1,2,2,1,2,3,2,,1,,,139
4114,3,,,,,1,1,,1,,,,140
4115,,,1,1,1,,,,,,,1,141
4116,,,1,,,2,,1,2,,1,1,142
4117,,,,,,1,1,,,,,,143
4118,,,,,,,,,,,,,144
4190,,,,,,,,,,,,,145
4199,,,,1,,,,,,,,,146
4201,,,,1,,2,1,,,,,,147
4202,,,,,,1,,2,,,,,148
4203,,,1,,1,2,1,,,,,,149
4205,,,,,1,1,1,1,,,,,150
4206,,1,,,2,1,2,1,1,3,1,1,151
4207,,,,,,,,,,,,,152
4208,2,,,,1,1,,2,1,1,,2,153
4209,,,,1,,1,,,,,2,1,154
4210,1,,,,,,2,1,1,3,,1,155
4211,,,,,,,1,,1,,2,1,156
4212,,,,,,,,,,2,,,157
4213,,,,,,,,,,,,,158
4228,1,2,4,1,2,2,1,2,2,2,1,,159
4290,1,,,,,1,,2,,,,,160
4299,,,,,,,,,,,,,161
4301,,1,1,1,2,,1,,2,3,1,2,162
4302,,,,,1,,2,,,,,,163
4303,,,,,,,,,,1,1,,164
4304,4,,,,,1,,,,,,,165
4305,1,3,5,1,1,,3,2,6,2,1,,166
4306,,2,,,,,,2,,1,,,167
4307,1,1,1,1,,,,1,,3,,,168
4308,,,,,,,,,1,,,,169
4309,,1,1,,1,1,2,2,2,2,,,170
4310,1,1,,1,1,,1,1,2,3,1,2,171
4311,2,1,,6,2,2,2,1,,4,3,,172
4312,,,5,2,,2,1,,1,1,3,,173
4313,1,,1,,1,2,,1,1,1,,,174
4331,,1,2,2,4,2,2,1,,2,1,,175
4399,,,,,,,,,,,,,176
4401,,1,,,,,,,,,,,177
4402,2,2,2,,,1,1,2,,3,2,,178
4403,,,,1,1,,,,1,,,1,179
4404,,,,,,,1,,,,,,180
4405,,,,,,,,,,,,,181
4406,1,,,,,1,,,,1,,,182
4407,,1,1,1,2,,2,2,1,1,2,2,183
4408,,,2,,1,2,,1,2,2,1,2,184
4409,1,3,4,10,3,1,5,3,9,11,6,5,185
4412,1,,,6,,3,2,2,1,4,2,2,186
4413,2,2,1,3,,1,,2,3,3,5,1,187
4414,1,1,1,1,,,,2,2,2,1,2,188
4415,,,,,,,,,,1,,,189
4416,2,1,1,,1,4,,2,3,5,4,4,190
4417,4,1,1,,3,2,2,3,2,4,2,3,191
4418,3,8,4,1,2,5,7,2,4,4,4,5,192
4419,,2,,,,,1,,,,,1,193
4420,,,,,,,,,,,,,194
4451,,,,,,,,,,,,,195
4452,,,,,,,,,,,,1,196
4453,3,1,1,3,2,2,,2,3,1,2,,197
4499,,,,,,,,,,,,,198
4501,,,,1,1,2,3,,2,,1,,199
4502,1,2,,,2,2,1,1,4,,5,,200
4503,4,4,2,3,1,5,4,4,2,1,5,5,201
4504,4,,,1,2,1,1,2,3,3,4,1,202
4505,,,3,1,,,2,,,,1,,203
4506,,,1,,,,,,,,1,,204
4507,3,1,4,2,,3,3,2,6,1,5,5,205
4508,4,,3,3,3,1,2,4,2,1,4,4,206
4509,5,4,3,3,6,3,,4,2,1,3,2,207
4510,3,4,1,1,,5,3,2,5,2,2,,208
4511,1,,,1,,2,2,2,3,1,3,,209
4512,,2,2,2,4,2,3,6,3,,2,3,210
4513,3,1,,,,2,2,3,1,2,2,3,211
4514,1,,,,4,2,,1,1,1,1,1,212
4599,,,,,,,,,,,,,213
4601,1,,1,,,,,,,,,,214
4602,,2,1,1,1,1,2,2,4,1,,1,215
4690,2,5,5,4,6,8,3,4,2,6,6,2,216
5001,2,1,2,2,3,4,4,3,2,3,3,1,217
5002,4,3,5,5,6,4,8,10,6,7,1,4,218
5003,,,,,,,,,,,,,219
5101,,1,,,,,,,,1,1,,220
5103,2,,1,1,,,1,,1,,,,221
5104,,,,,,1,,,,,,,222
5105,1,,1,1,1,,1,,1,,1,,223
5106,1,1,2,,,,,4,1,2,1,,224
5107,,2,,2,,,,,2,,,,225
5108,,,,,,,,,,,,,226
5109,,,,,1,,,1,3,,,2,227
5110,,,,1,,,1,,1,,,,228
5111,,,1,,,,,,,,,1,229
5113,1,,,1,2,1,1,,1,1,,,230
5114,,,,,2,,,1,,1,1,,231
5115,,,,,2,,,,,,,,232
5116,,,,1,,2,,,,,,,233
5117,,,,,1,,1,,,,,,234
5118,,,1,,1,2,2,,2,,,1,235
5119,,,,1,,,,,,,,,236
5120,1,,,,,,1,1,,,1,1,237
5134,,,,,,,,,,,,,238
5199,,,,,,,,,,,,,239
5201,,,,2,,3,2,1,1,3,,,240
5202,,2,1,2,3,5,,,2,3,5,2,241
5203,,1,1,1,4,1,,1,,2,3,1,242
5204,3,4,2,4,2,3,3,2,6,1,1,1,243
5222,,2,3,4,3,1,1,2,4,3,2,5,244
5223,3,2,2,2,4,3,5,4,4,9,1,3,245
5224,2,1,4,5,3,,5,4,1,2,2,1,246
5226,3,1,1,5,1,2,2,2,3,5,1,1,247
5227,1,3,,2,4,5,3,3,7,3,8,2,248
5299,,,,,,,,,,,,,249
5301,2,,,,,,,5,1,1,,1,250
5303,2,,,,,1,2,1,1,3,1,1,251
5304,,,1,,4,2,1,,1,2,,,252
5305,,,,,,,,,1,,,,253
5306,,,1,,2,2,2,2,,1,,1,254
5307,,,,,,,,,,,,,255
5308,,,1,,1,1,2,,1,1,,,256
5309,,,,,,,,,,,,,257
5323,,,,,,,,,,,,,258
5325,1,2,4,5,3,5,7,2,5,1,3,2,259
5326,2,1,2,1,1,,7,6,5,3,7,1,260
5328,1,,1,,,1,,,1,1,,,261
5329,,,,,,,,,,,,,262
5331,,,,,,,,,,,,,263
6101,,,,,,,,,,,,,264
6103,,,,,,,,,,,,,265
6104,,,,,,,,,,,,,266
6105,,,,,1,,,,1,2,,1,267
6106,,,,,,,,,,,,,268
6107,1,1,3,1,,,,2,,3,2,1,269
6108,,,,,,,,,,,,,270
6109,,,,,1,,,1,,,,,271
6110,,,,,,,,,,,,,272
6111,,,,,,,,,,,,,273
6190,,,,,,,,,,,,,274
6199,,,,,,,,,,,,,275
6205,,,,,,,,,,,,,276
6208,,,,,,,,,,,,,277
6210,,,,,,,,,,,,,278
6323,,,,,,,,,,,,,279
6326,,,,,,,,,,,,,280
6401,,,,,,,,,,,,,281
6402,,,,,,,,,,,,,282
6403,,,,,,,,,,,,,283
6404,,,,,,,,,,,,,284
6502,,,,,,,,,,,,,285
6540,,,,,,,,,,,,,286
6542,,,,,,,,,,,,,287
