2005,2006,2007,2008,2009,2010,2011,2012,2013
1,1,3,6,3,9,4,13,6
,,,,,,1,,1
0,0,0,0,0,0,0,0,0
3,,17,10,8,3,6,8,4
,4,1,,3,1,2,1,
0,0,0,0,0,0,0,0,0
1,2,9,12,22,15,13,6,10
,,,4,13,23,4,2,2
,,,,9,11,1,1,
,10,16,6,9,2,5,3,6
,6,10,13,13,9,8,10,4
1,9,45,34,39,26,20,13,25
,1,2,5,8,6,18,12,5
,,2,1,,5,2,3,5
9,30,20,15,9,8,6,4,5
1,14,20,9,6,7,6,6,4
1,12,20,9,7,8,8,6,2
0,0,0,0,0,0,0,0,0
,,,,,1,7,4,1
,,,,,3,6,8,5
,,,,3,1,4,1,4
,,2,2,7,3,4,1,
,,,3,1,2,3,,1
,,,,,,3,8,13
,,,,1,3,4,5,5
,,1,4,14,10,14,6,6
1,,,,,1,7,9,1
,,,,1,19,35,23,15
,,,,,,1,2,15
,,,,1,,,1,
0,0,0,0,0,0,0,0,0
,,,,,2,5,3,2
,1,,,1,3,2,4,4
,,2,,,,,2,1
,,,,,,1,,2
,,1,,,,,,
,,,,,,3,,
,,,2,3,1,1,4,4
,,1,,,,,,
,,1,,1,,,,
,,1,,,,,,
0,0,0,0,0,0,0,0,0
,,,,,,,,1
,,,,,,,2,
,,,,,,1,,1
,,,,,,,1,1
,,,,,,1,3,1
0,0,0,0,0,0,0,0,0
,,1,,,,,,
0,0,0,0,0,0,0,0,0
,1,,,,,,,
,,,,,,,1,1
,1,,,,,,,
0,0,0,0,0,0,0,0,0
1,7,7,1,2,2,5,3,1
,,,,,1,2,1,
0,0,0,0,0,0,0,0,0
5,4,4,1,1,3,1,3,
7,4,4,4,2,3,6,2,3
21,13,25,15,13,13,10,7,9
9,7,6,4,4,3,4,1,2
5,1,5,1,1,2,7,4,
13,7,11,15,10,4,12,6,1
9,4,8,4,9,10,14,7,5
12,14,15,7,4,9,9,6,7
11,7,9,8,6,7,7,8,2
3,3,1,1,1,1,2,2,1
5,10,7,5,4,3,2,1,
7,7,10,11,4,8,4,5,3
20,25,9,8,3,9,9,10,4
0,0,0,0,0,0,0,0,0
8,1,6,3,2,4,2,1,1
8,5,5,6,2,,,1,1
10,6,8,8,9,1,5,3,
,5,4,2,2,4,1,1,
5,3,3,8,4,2,3,1,1
4,9,9,2,1,2,,1,
3,8,8,4,4,3,5,3,4
,6,6,,2,1,1,1,
23,13,5,2,3,6,,1,
,2,3,3,2,2,,1,1
,,,,,,1,,
0,0,0,0,0,0,0,0,0
7,6,1,1,,2,4,1,1
4,8,,1,,1,1,1,
5,,5,5,3,1,4,1,1
2,2,1,3,3,4,2,3,1
2,1,,,1,,1,3,
1,4,4,,3,,,1,
1,2,,1,,,,,
8,20,10,2,7,3,10,3,3
1,1,1,,,,,1,
7,,7,2,5,5,1,3,1
18,27,18,13,15,9,10,8,8
6,15,10,3,4,8,3,4,5
10,5,4,1,4,4,,,
7,9,1,3,4,1,3,1,3
6,8,12,1,6,10,6,5,3
4,3,,1,,,,1,2
5,6,6,2,,,3,2,3
,,1,,,,,1,
0,0,0,0,0,0,0,0,0
,,,,,1,,,1
8,12,3,3,,1,,,1
14,21,19,8,5,6,1,,
,,4,2,3,,1,,
5,9,11,1,3,,,2,
,2,6,1,,1,,,
,,,,,,,1,
0,0,0,0,0,0,0,0,0
4,4,7,7,3,3,2,3,
1,,2,,1,,1,,
8,6,4,4,5,5,4,1,3
13,4,3,5,4,3,4,,2
1,1,,1,3,,,,
2,2,2,1,,1,1,,
26,23,18,21,16,11,11,10,6
19,15,15,15,7,7,7,4,4
12,14,9,9,9,13,9,2,2
8,4,2,,3,,2,1,
16,19,16,11,9,5,3,2,
0,0,0,0,0,0,0,0,0
,5,11,2,4,4,5,2,4
,,,1,2,4,13,9,8
,1,1,5,1,1,,2,
7,6,9,9,6,6,2,2,3
,,,2,5,1,1,,2
,,2,9,13,8,12,6,3
1,,1,7,4,8,7,5,2
4,36,14,18,10,3,2,1,3
,5,11,3,7,5,13,5,1
,,,2,3,2,4,2,1
4,7,6,5,8,4,3,2,4
,,3,1,3,,,,
27,31,31,25,10,7,9,8,8
2,17,18,7,7,4,9,7,4
2,20,6,6,1,1,2,4,2
,1,16,6,7,8,3,2,3
15,5,8,4,1,8,6,10,7
,1,,1,,,,,
0,0,0,0,0,0,0,0,0
,6,9,8,12,5,5,2,5
8,5,7,3,4,9,4,10,7
,,8,8,4,6,5,3,
2,5,10,12,10,8,6,5,3
,3,12,7,5,7,9,6,6
,,4,3,3,,,,2
2,5,14,1,8,1,7,4,3
,,,4,6,4,3,2,5
2,3,7,5,5,5,5,6,2
3,14,16,5,7,2,4,7,5
6,4,13,4,2,5,1,,
,,,1,,1,,2,1
36,33,27,17,8,15,12,7,21
17,15,15,13,10,6,8,9,5
14,23,13,8,7,4,7,7,5
27,19,18,7,10,8,17,13,8
21,22,22,9,6,2,6,2,3
,,,,1,,,,
,,,,,,,1,
1,1,,,,1,,,
0,0,0,0,0,0,0,0,0
19,13,10,5,8,4,11,2,4
21,24,9,4,4,3,2,2,2
,9,10,2,14,5,4,2,2
20,24,12,2,10,4,6,10,4
16,21,11,9,11,13,16,8,6
4,4,3,1,1,,2,,
16,8,6,9,6,10,6,1,3
7,5,11,2,2,5,2,5,4
24,17,19,10,8,9,7,4,5
25,49,23,16,12,5,7,6,1
16,11,7,3,,2,2,3,1
2,4,10,5,6,,2,3,1
,9,6,13,31,20,10,4,4
14,22,12,9,7,4,9,5,1
,,,,,,1,,
0,0,0,0,0,0,0,0,0
9,14,11,16,12,14,14,10,6
19,25,18,15,11,3,9,4,6
21,15,12,6,6,2,2,5,1
31,41,28,9,13,5,5,1,4
40,42,41,33,48,25,29,14,15
29,21,21,11,5,5,5,7,1
31,26,21,12,18,8,15,11,6
34,44,3,8,5,1,4,4,1
20,23,21,25,7,12,9,16,12
49,38,35,13,17,14,17,6,3
35,64,42,27,35,23,17,21,10
23,39,29,21,9,15,11,5,8
30,24,29,20,9,8,12,8,10
8,27,26,13,5,17,13,6,
1,,,,,,,,
0,0,0,0,0,0,0,0,0
9,12,15,6,2,1,1,2,4
21,19,22,27,16,15,3,6,4
6,12,12,5,4,4,5,6,3
,,,,3,1,,,
1,1,4,3,1,,,,
2,7,1,1,2,3,2,2,1
2,1,5,14,13,15,20,5,5
26,40,16,12,9,13,7,2,6
