code,name,nameE2,preCode,nameE
110100,市辖区,shi xia qu ,1101,shi xia qu
120100,市辖区,shi xia qu ,1201,shi xia qu
130100,石家庄市,shi jia zhuang shi ,1301,shi jia zhuang shi
140100,太原市,tai yuan shi ,1401,tai yuan shi
150100,呼和浩特市,hu he hao te shi ,1501,hu he hao te shi
210100,沈阳市,shen yang shi ,2101,shen yang shi
220100,长春市,chang chun shi ,2201,chang chun shi
230100,哈尔滨市,ha dong bin shi ,2301,ha dong bin shi
310100,市辖区,shi xia qu ,3101,shi xia qu
320100,南京市,nan jing shi ,3201,nan jing shi
330100,杭州市,hang zhou shi ,3301,hang zhou shi
340100,合肥市,he fei shi ,3401,he fei shi
350100,福州市,fu zhou shi ,3501,fu zhou shi
360100,南昌市,nan chang shi ,3601,nan chang shi
370100,济南市,ji nan shi ,3701,ji nan shi
410100,郑州市,zheng zhou shi ,4101,zheng zhou shi
420100,武汉市,wu han shi ,4201,wu han shi
430100,长沙市,chang sha shi ,4301,chang sha shi
440100,广州市,guang zhou shi ,4401,guang zhou shi
450100,南宁市,nan ning shi ,4501,nan ning shi
460100,海口市,hai kou shi ,4601,hai kou shi
500100,市辖区,shi xia qu ,5001,shi xia qu
510100,成都市,cheng dong shi ,5101,cheng dong shi
520100,贵阳市,gui yang shi ,5201,gui yang shi
530100,昆明市,kun ming shi ,5301,kun ming shi
540100,拉萨市,la sa shi ,5401,la sa shi
610100,西安市,xi an shi ,6101,xi an shi
620100,兰州市,lan zhou shi ,6201,lan zhou shi
630100,西宁市,xi ning shi ,6301,xi ning shi
640100,银川市,yin chuan shi ,6401,yin chuan shi
650100,乌鲁木齐市,wu lu mu qi shi ,6501,wu lu mu qi shi
110200,县,xian ,1102,xian
120200,县,xian ,1202,xian
130200,唐山市,tang shan shi ,1302,tang shan shi
140200,大同市,da tong shi ,1402,da tong shi
150200,包头市,bao tou shi ,1502,bao tou shi
210200,大连市,da lian shi ,2102,da lian shi
220200,吉林市,ji lin shi ,2202,ji lin shi
230200,齐齐哈尔市,qi qi ha dong shi ,2302,qi qi ha dong shi
310200,县,xian ,3102,xian
320200,无锡市,wu xi shi ,3202,wu xi shi
330200,宁波市,ning bo shi ,3302,ning bo shi
340200,芜湖市,wu hu shi ,3402,wu hu shi
350200,厦门市,xia men shi ,3502,xia men shi
360200,景德镇市,jing de zhen shi ,3602,jing de zhen shi
370200,青岛市,qing dao shi ,3702,qing dao shi
410200,开封市,kai feng shi ,4102,kai feng shi
420200,黄石市,huang shi shi ,4202,huang shi shi
430200,株洲市,zhu zhou shi ,4302,zhu zhou shi
440200,韶关市,shao guan shi ,4402,shao guan shi
450200,柳州市,liu zhou shi ,4502,liu zhou shi
460200,三亚市,san ya shi ,4602,san ya shi
500200,县,xian ,5002,xian
520200,六盘水市,liu pan shui shi ,5202,liu pan shui shi
610200,铜川市,tong chuan shi ,6102,tong chuan shi
620200,嘉峪关市,jia yu guan shi ,6202,jia yu guan shi
630200,海东市,hai dong shi ,6302,hai dong shi
640200,石嘴山市,shi zui shan shi ,6402,shi zui shan shi
650200,克拉玛依市,ke la ma yi shi ,6502,ke la ma yi shi
130300,秦皇岛市,qin huang dao shi ,1303,qin huang dao shi
140300,阳泉市,yang quan shi ,1403,yang quan shi
150300,乌海市,wu hai shi ,1503,wu hai shi
210300,鞍山市,an shan shi ,2103,an shan shi
220300,四平市,si ping shi ,2203,si ping shi
230300,鸡西市,ji xi shi ,2303,ji xi shi
320300,徐州市,xu zhou shi ,3203,xu zhou shi
330300,温州市,wen zhou shi ,3303,wen zhou shi
340300,蚌埠市,bang bu shi ,3403,bang bu shi
350300,莆田市,pu tian shi ,3503,pu tian shi
360300,萍乡市,ping xiang shi ,3603,ping xiang shi
370300,淄博市,zi bo shi ,3703,zi bo shi
410300,洛阳市,luo yang shi ,4103,luo yang shi
420300,十堰市,shi yan shi ,4203,shi yan shi
430300,湘潭市,xiang tan shi ,4303,xiang tan shi
440300,深圳市,shen 圳shi ,4403,shen zhen shi
450300,桂林市,gui lin shi ,4503,gui lin shi
460300,三沙市,san sha shi ,4603,san sha shi
510300,自贡市,zi gong shi ,5103,zi gong shi
520300,遵义市,zun yi shi ,5203,zun yi shi
