city,county,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013
1101,110105,,,1,,,,1,1,3
1101,110106,,,,2,1,,1,2,
1101,110107,1,,,,,,,,
1101,110108,,,,,,2,1,,1
1101,110109,,,,,,,,1,
1101,110111,,1,,1,1,2,,,1
1101,110112,,,,1,,1,,5,
1101,110113,,,,,,1,,3,
1101,110114,,,,,1,1,,,
1101,110115,,,2,2,,,1,1,
1101,110117,,,,,,2,,,1
1102,110228,,,,,,,1,,1
1201,120102,,,2,,,,,1,
1201,120103,,,,,,,2,,
1201,120105,,,1,,,1,1,1,
1201,120106,,,1,1,,,2,,
1201,120107,,,1,,1,,,,
1201,120108,,,,,1,,,,
1201,120109,3,,,1,,,,,
1201,120110,,,,,1,,,1,2
1201,120111,,,,,2,,,,
1201,120112,,,3,2,,,,,
1201,120113,,,3,3,2,,,,
1201,120114,,,5,2,1,1,1,2,1
1201,120115,,,1,1,,,,1,1
1201,120116,,,,,,1,,2,
1202,120221,,,,,2,,,,
1202,120223,,4,1,,1,1,2,,
1202,120225,,,,,,,,1,
1301,130102,,,,,,,,1,
1301,130104,,,,,,,1,,
1301,130105,,,,1,1,,,,
1301,130108,,,,1,,,,,
1301,130121,,,,,,4,1,,
1301,130123,,,,,1,1,2,,
1301,130124,,,,,3,,,,
1301,130125,,,3,1,1,,1,,1
1301,130126,,,1,3,1,,,1,1
1301,130128,1,1,2,,2,,,,1
1301,130129,,,,,1,,,,
1301,130130,,,,,1,3,1,,
1301,130131,,,,3,1,1,,1,2
1301,130132,,,,,1,,1,1,1
1301,130133,,,,1,1,1,1,,
1301,130181,,,1,1,1,1,,,1
1301,130182,,,,1,2,1,2,1,2
1301,130183,,,1,,1,2,,,1
1301,130184,,1,1,,2,1,1,1,
1301,130185,,,,,2,,2,,
1302,130203,,,,,,,,,1
1302,130205,,,,,1,4,,,
1302,130207,,,,,2,1,,,
1302,130208,,,,,1,5,,,
1302,130223,,,,,4,1,,,
1302,130224,,,,,3,2,1,,
1302,130225,,,,,1,3,,,
1302,130227,,,,,,2,,1,
1302,130229,,,,,,1,,,
1302,130230,,,,,,,1,,
1302,130281,,,,3,,2,2,1,1
1302,130283,,,,1,1,2,,,
